city,country,latitude,longitude,temp,humidity,clouds,wind_speed,date
ketchikan,us,55.34,-131.65,41,86,90,4.1,"Dec 26, 2019"
oriximina,br,-1.77,-55.87,78,88,71,2.32,"Dec 26, 2019"
carnarvon,au,-24.87,113.63,83,69,0,9.8,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
jamestown,us,41.5,-71.37,38,69,90,2.1,"Dec 26, 2019"
tagusao,ph,9.19,117.81,83,68,59,1.47,"Dec 26, 2019"
lebu,cl,-37.62,-73.65,51,84,88,2.21,"Dec 26, 2019"
seminole,us,32.72,-102.64,54,100,40,2.6,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
adrar,dz,27.87,-0.29,50,46,100,4.1,"Dec 26, 2019"
carnarvon,au,-24.87,113.63,83,69,0,9.8,"Dec 26, 2019"
thompson,ca,55.74,-97.86,18,85,90,1.0,"Dec 26, 2019"
mar del plata,ar,-46.43,-67.52,68,38,68,10.26,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
sitka,us,37.17,-99.65,28,87,0,3.23,"Dec 26, 2019"
popondetta,pg,-8.77,148.24,78,71,10,1.83,"Dec 26, 2019"
nanortalik,gl,60.14,-45.24,32,46,100,0.56,"Dec 26, 2019"
ixtapa,mx,20.71,-105.21,79,74,5,2.1,"Dec 26, 2019"
mar del plata,ar,-46.43,-67.52,68,38,68,10.26,"Dec 26, 2019"
aykhal,ru,65.95,111.51,-33,73,93,1.0,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
bom jardim,br,-7.8,-35.59,72,88,20,5.7,"Dec 26, 2019"
gazimurskiy zavod,ru,51.55,118.33,-7,91,100,0.99,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
khatanga,ru,71.98,102.47,-25,94,88,1.79,"Dec 26, 2019"
alvorada,br,-30.0,-51.08,79,88,100,5.1,"Dec 26, 2019"
along,in,28.17,94.8,56,60,0,1.6,"Dec 26, 2019"
port alfred,za,-33.59,26.89,63,65,100,4.02,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
cap malheureux,mu,-19.98,57.61,79,88,75,8.2,"Dec 26, 2019"
manokwari,id,-0.87,134.08,80,85,47,3.74,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
lebu,cl,-37.62,-73.65,51,84,88,2.21,"Dec 26, 2019"
hilo,us,19.71,-155.08,81,74,90,3.1,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
clyde river,ca,70.47,-68.59,-2,84,20,4.1,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
payakumbuh,id,-0.23,100.63,75,87,87,1.45,"Dec 26, 2019"
muros,es,42.77,-9.06,47,93,49,2.6,"Dec 26, 2019"
geraldton,au,-28.77,114.6,79,57,99,7.7,"Dec 26, 2019"
ponta do sol,cv,17.2,-25.09,70,74,0,5.15,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
kavieng,pg,-2.57,150.8,81,80,98,2.95,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
nabire,id,-3.36,135.5,92,55,39,0.89,"Dec 26, 2019"
kununurra,au,-15.77,128.74,88,58,0,3.1,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
tura,ru,64.27,100.22,-27,100,97,1.0,"Dec 26, 2019"
misratah,ly,32.38,15.09,63,74,38,6.44,"Dec 26, 2019"
port hardy,ca,50.7,-127.42,38,100,90,1.5,"Dec 26, 2019"
buchanan,lr,5.88,-10.05,75,94,20,0.17,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
carnarvon,au,-24.87,113.63,83,69,0,9.8,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
flinders,au,-34.58,150.85,91,45,0,6.7,"Dec 26, 2019"
bathsheba,bb,13.22,-59.52,81,74,20,6.2,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
saint-augustin,ca,45.63,-73.98,26,67,90,5.7,"Dec 26, 2019"
coihueco,cl,-36.63,-71.83,66,55,100,2.6,"Dec 26, 2019"
ostrovnoy,ru,68.05,39.51,27,85,100,5.41,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
